mc 0f 00000c91 00000ea2 00000c83 00000d84 0733 cf 00020319 t0:0
mc 0f 00000c6b 00000ea2 00000c75 00000d89 0737 d0 00020431 t0:0
mc 0f 00000c7e 00000eab 00000c70 00000d9c 073b d1 00020549 t0:0
mc 0f 00000c6b 00000eb0 00000c8c 00000d97 073f d2 00020661 t0:0
mc 0f 00000ca4 00000ec3 00000c75 00000d8e 0743 d3 00020779 t0:0
mc 0f 00000c8c 00000e8f 00000c83 00000d92 0747 d4 00020891 t0:0
mc 0f 00000ca4 00000ec3 00000c67 00000d63 074b d5 000209a9 t0:0
mc 0f 00000c7e 00000eb9 00000c70 00000d68 074f d6 00020ac1 t0:0
mc 0f 00000c88 00000ea2 00000c7e 00000d84 0753 d7 00020bd9 t0:0
mc 0f 00000c8c 00000e9d 00000c7a 00000d92 0757 d8 00020cf1 t0:0
mc 0f 00000c75 00000e98 00000c83 00000d80 075b d9 00020e09 t0:0
mc 0f 00000c91 00000ec3 00000c75 00000d80 075f da 00020f21 t0:0
mc 0f 00000c70 00000eb0 00000c88 00000d9c 0763 db 00021039 t0:0
mc 0f 00000c54 00000eab 00000c67 00000d84 0767 dc 00021151 t0:0
mc 0f 00000c4f 00000e94 00000c70 00000d8e 076b dd 00021269 t0:0
mc 0f 00000c83 00000ea6 00000c67 00000d84 076f de 00021381 t0:0
mc 0f 00000c88 00000eb0 00000c70 00000d7b 0773 df 00021499 t0:0
mc 0f 00000c9f 00000eab 00000c91 00000da5 0777 e0 000215b1 t0:0
mc 0f 00000c5d 00000eb9 00000c83 00000d89 077b e1 000216c9 t0:0
mc 0f 00000c8c 00000eb5 00000c6b 00000d6d 077f e2 000217e1 t0:0
mc 0f 00000c96 00000e98 00000c75 00000d92 0783 e3 000218f9 t0:0
mc 0f 00000ca4 00000eb9 00000c7a 00000d7b 0787 e4 00021a11 t0:0
mc 0f 00000c7a 00000eab 00000c6b 00000d84 078b e5 00021b29 t0:0
mc 0f 00000c83 00000e9d 00000c75 00000d76 078f e6 00021c41 t0:0
mc 0f 00000c7e 00000eb9 00000c75 00000daa 0793 e7 00021d59 t0:0
mc 0f 00000c7e 00000ea6 00000c88 00000d92 0797 e8 00021e71 t0:0
mc 0f 00000c62 00000eab 00000c7e 00000d8e 079b e9 00021f89 t0:0
mc 0f 00000c91 00000eb5 00000c75 00000d72 079f ea 000220a1 t0:0
mc 0f 00000ca4 00000eb0 00000c7e 00000d68 07a3 eb 000221b9 t0:0
mc 0f 00000c96 00000ea6 00000c7a 00000da0 07a7 ec 000222d1 t0:0
mc 0f 00000c54 00000eab 00000c67 00000d92 07ab ed 000223e9 t0:0
mc 0f 00000c9f 00000e98 00000c75 00000d72 07af ee 00022501 t0:0
mc 0f 00000c88 00000e9d 00000c8c 00000d80 07b3 ef 00022619 t0:0
mc 0f 00000c6b 00000eab 00000c8c 00000d72 07b7 f0 00022731 t0:0
mc 0f 00000c4f 00000eb5 00000c6b 00000d5a 07bb f1 00022849 t0:0
mc 0f 00000c7a 00000ec3 00000c83 00000d97 07bf f2 00022961 t0:0
mc 0f 00000c7e 00000eab 00000c6b 00000d92 07c3 f3 00022a79 t0:0
mc 0f 00000c9a 00000eb9 00000c7a 00000d7b 07c7 f4 00022b91 t0:0
mc 0f 00000c6b 00000eb5 00000c75 00000d9c 07cb f5 00022ca9 t0:0
mc 0f 00000c7a 00000eab 00000c8c 00000d63 07cf f6 00022dc1 t0:0
mc 0f 00000c88 00000ebe 00000c9a 00000d6d 07d3 f7 00022ed9 t0:0
mc 0f 00000c7a 00000ebe 00000c4b 00000d80 07d7 f8 00022ff1 t0:0
mc 0f 00000c9a 00000eb9 00000c8c 00000d80 07db f9 00023109 t0:0
mc 0f 00000c7a 00000eab 00000c9a 00000d7b 07df fa 00023221 t0:0
mc 0f 00000c8c 00000eb5 00000c9f 00000d7b 07e3 fb 00023339 t0:0
mc 0f 00000c5d 00000eb5 00000c6b 00000d76 07e7 fc 00023451 t0:0
